,id,has_online_delivery,has_table_booking,is_delivering_now,switch_to_order_menu,cuisines,average_cost_for_two,price_range,votes,aggregate_rating,currency
0,308322,1,1,0,0,4,1600,3,7931,4.3,Rs.
1,18037817,0,1,0,0,6,1500,3,778,4.5,Rs.
2,312345,1,0,0,0,4,850,2,1537,4.4,Rs.
3,307490,0,1,0,0,2,1850,3,1823,4.1,Rs.
4,18241537,0,1,0,0,4,1600,3,840,4.4,Rs.
5,18161577,1,1,0,0,4,900,2,1071,4.6,Rs.
6,303960,0,0,0,0,5,2000,4,2093,4.6,Rs.
7,306134,0,1,0,0,2,2000,4,2412,2.4,Rs.
8,18233593,0,0,0,0,1,2200,4,1942,4.4,Rs.
9,7528,1,1,0,0,2,1800,3,1262,4.5,Rs.
10,18273624,0,0,0,0,2,900,2,1136,4.6,Rs.
11,308022,0,0,0,0,1,2200,4,4385,4.3,Rs.
12,18157413,0,1,0,0,4,1500,3,1809,4.2,Rs.
13,18279449,1,1,0,0,4,1900,3,1129,4.3,Rs.
14,311057,0,0,0,0,3,1000,3,3010,3.7,Rs.
15,18235515,0,1,0,0,4,1200,3,1379,3.9,Rs.
16,18238278,0,1,0,0,4,1600,3,1801,3.7,Rs.
17,17977777,0,0,0,0,3,1200,3,621,4.2,Rs.
18,900,1,0,0,0,1,500,2,5172,4.3,Rs.
19,18246991,0,1,0,0,4,1600,3,1959,4.1,Rs.
20,18017612,0,0,0,0,3,1200,3,1424,4.8,Rs.
21,18249144,1,0,0,0,4,1200,3,1103,4.2,Rs.
22,25570,0,0,0,0,2,1600,3,1753,4.9,Rs.
23,20404,1,0,0,0,2,1000,3,7574,4.3,Rs.
24,20842,0,0,0,0,2,1600,3,5966,4.9,Rs.
25,18017615,0,1,0,0,3,1000,3,1126,4.0,Rs.
26,20002,1,1,0,0,1,1000,3,1778,4.4,Rs.
27,25587,1,1,0,0,2,1800,3,911,4.0,Rs.
28,24286,0,0,0,0,2,1900,3,2224,4.4,Rs.
29,18217475,1,0,0,0,2,1400,3,945,4.6,Rs.
30,20747,1,1,0,0,4,800,2,1219,4.6,Rs.
31,18377112,0,0,0,0,4,1000,3,326,3.9,Rs.
32,24530,0,0,0,0,2,800,2,2584,4.2,Rs.
33,18343731,0,1,0,0,3,1200,3,704,4.2,Rs.
34,24452,0,1,0,0,1,1600,3,1616,4.1,Rs.
35,20870,1,0,0,0,2,900,2,5288,4.2,Rs.
36,20350,1,0,0,0,3,1050,3,4464,3.5,Rs.
37,25664,0,1,0,0,4,1400,3,1484,4.4,Rs.
38,18259462,0,1,0,0,4,1500,3,1040,3.6,Rs.
39,21220,0,1,0,0,2,1500,3,1064,3.9,Rs.
40,18313566,0,0,0,0,1,1500,3,1240,4.3,Rs.
41,18075122,1,1,0,0,4,1000,3,2083,4.7,Rs.
42,18237753,1,1,0,0,6,1000,3,2040,4.1,Rs.
43,18463285,0,1,0,0,8,1000,3,146,3.8,Rs.
44,18435740,0,1,0,0,3,1000,3,181,3.8,Rs.
45,17806994,0,0,0,0,3,1500,3,3244,4.9,Rs.
46,18318116,0,0,0,0,8,1200,3,536,4.0,Rs.
47,18458563,0,1,0,0,4,850,2,170,3.4,Rs.
48,18388642,0,0,0,0,2,1100,3,617,3.8,Rs.
49,49003,1,0,0,0,1,1500,3,3370,4.2,Rs.
50,18408295,0,0,0,0,3,500,2,413,4.6,Rs.
51,18270976,1,1,0,0,6,1000,3,1295,4.1,Rs.
